"","B_Name","R_Name","total_blue_strikes","total_red_strikes","winner","winby"
"311","Rory MacDonald","Robbie Lawler",171,200,"red","KO/TKO"
"312","Thiago Santos","Gegard Mousasi",142,231,"red","KO/TKO"
"313","Jack May","Shawn Jordan",5,15,"red","KO/TKO"
"314","Kelvin Gastelum","Jake Ellenberger",126,29,"blue","SUB"
"315","Islam Makhachev","Chris Wade",36,109,"blue","DEC"
"316","Sean Strickland","Kamaru Usman",296,175,"red","DEC"
"317","Caio Magalhaes","Josh Samman",25,11,"red","SUB"
"318","Leandro Silva","Jason Saggo",118,59,"red","DEC"
"319","Leandro Silva","Efrain Escudero",83,138,"blue","DEC"
"320","Tamdan McCrory","Nate Marquardt",41,88,"red","KO/TKO"
"321","Gleison Tibau","Norman Parke",74,71,"blue","DEC"
"322","Chris Clements","Vik Grujic",0,19,"blue","KO/TKO"
"323","Andrei Arlovski","Travis Browne",25,61,"blue","KO/TKO"
"324","Angela Hill","Tecia Torres",0,96,"red","DEC"
"325","Vicente Luque","Leon Edwards",73,138,"red","DEC"
"326","Lando Vannata","Tony Ferguson",0,236,"red","SUB"
"327","Ilir Latifi","Ryan Bader",57,97,"red","KO/TKO"
"328","Geane Herrera","Ray Borg",0,33,"red","DEC"
"329","Cody Gibson","Manvel Gamburyan",21,28,"red","SUB"
"330","Zak Ottow","Joshua Burkman",0,142,"blue","DEC"
"331","Chris Camozzi","Daniel Kelly",265,100,"red","DEC"
"332","Joanna Jedrzejczyk","Claudia Gadelha",64,70,"blue","DEC"
"333","Tarec Saffiedine","Dong Hyun Kim",203,35,"red","DEC"
"334","Andre Fili","Godofredo Pepey",115,13,"red","SUB"
"335","Phil Harris","Neil Seery",3,47,"red","DEC"
"336","Yaotzin Meza","Sam Sicilia",72,97,"red","DEC"
"337","Corey Anderson","Jimi Manuwa",205,96,"red","KO/TKO"
"338","Clay Collard","Max Holloway",0,144,"red","KO/TKO"
"339","Scott Askham","Bradley Scott",98,128,"red","DEC"
"340","Anthony Birchak","Thomas Almeida",20,175,"red","KO/TKO"
"341","Jerrod Sanders","Russell Doane",3,81,"blue","DEC"
"342","John Moraga","Joseph Benavidez",111,94,"red","DEC"
"343","Francisco Trinaldo","Chad Laprise",209,190,"blue","KO/TKO"
"344","Jimmie Rivera","Marcus Brimage",0,32,"blue","KO/TKO"
"345","Alex Caceres","Urijah Faber",53,8,"red","SUB"
"346","Ben Saunders","Court McGee",117,108,"blue","DEC"
"347","Chris Wade","Rustam Khabilov",84,85,"red","DEC"
"348","Mark Godbeer","Justin Ledet",0,113,"red","SUB"
"349","Daniel Spitz","Mark Godbeer",0,5,"red","DEC"
"350","Magomed Mustafaev","Piotr Hallmann",0,108,"blue","KO/TKO"
"351","Leslie Smith","Jessica Eye",115,47,"red","KO/TKO"
"352","Renan Barao","TJ Dillashaw",122,306,"red","KO/TKO"
"353","Belal Muhammad","Augusto Montano",77,51,"blue","KO/TKO"
"354","Damien Brown","Alan Patrick",0,40,"red","DEC"
"355","Geane Herrera","Joby Sanchez",7,78,"blue","KO/TKO"
"356","Tim Johnson","Daniel Omielanczuk",88,178,"blue","DEC"
"357","Efrain Escudero","Leonardo Santos",0,26,"red",""
"358","John Lineker","Ian McCall",160,56,"blue","DEC"
"359","Juan Puig","Adriano Martins",0,13,"red","KO/TKO"
"360","Diego Rivas","Noad Lahat",15,112,"blue","KO/TKO"
"361","Daniel Kelly","Rashad Evans",139,32,"blue","DEC"
"362","Tamdan McCrory","Josh Samman",0,23,"blue","SUB"
"363","Alexander Yakovlev","Demian Maia",0,51,"red","DEC"
"364","Alex Caceres","Cole Miller",171,97,"blue","DEC"
"365","Antonio Silva","Roy Nelson",32,146,"red","KO/TKO"
"366","Eddie Wineland","Frankie Saenz",112,190,"blue","KO/TKO"
"367","Bec Rawlings","Tecia Torres",119,266,"red","DEC"
"368","Yosdenis Cedeno","Chad Laprise",39,71,"red","DEC"
"369","Viktor Pesta","Derrick Lewis",61,88,"red","KO/TKO"
"370","James Vick","Abel Trujillo",230,72,"blue","SUB"
"371","Nathan Coy","Zak Cummings",48,175,"red","SUB"
"372","Vitor Belfort","Chris Weidman",0,33,"red","KO/TKO"
"373","Mike Pierce","Ryan LaFlare",0,71,"red","DEC"
"374","Tae Hyun Bang","Nick Hein",12,175,"red","DEC"
"375","Henry Cejudo","Chris Cariaso",72,143,"blue","DEC"
"376","Kelvin Gastelum","Neil Magny",233,421,"red","DEC"
"377","Kevin Lee","Efrain Escudero",169,162,"blue","DEC"
"378","Andrew Sanchez","Anthony Smith",105,81,"red","KO/TKO"
"379","Alistair Overeem","Junior Dos Santos",161,57,"blue","KO/TKO"
"380","Makwan Amirkhani","Mike Wilkinson",6,6,"blue","DEC"
"381","Andrei Arlovski","Alistair Overeem",122,193,"red","KO/TKO"
"382","Bryan Caraway","Eddie Wineland",46,60,"blue","DEC"
"383","Teemu Packalen","Mickael Lebout",0,47,"red","DEC"
"384","Neil Magny","Demian Maia",353,101,"red","SUB"
"385","Pearl Gonzalez","Cynthia Calvillo",0,13,"red","SUB"
"386","Tim Means","Dhiego Lima",158,75,"blue","KO/TKO"
"387","Mehdi Baghdad","Chris Wade",0,79,"red","SUB"
"388","Danielle Taylor","Seohee Ham",17,221,"blue","DEC"
"389","Anthony Smith","Elvis Mutapcic",33,102,"blue","KO/TKO"
"390","Marvin Vettori","Alberto Uda",0,15,"blue","SUB"
"391","Jonathan Meunier","Richard Walsh",16,279,"blue","DEC"
"392","Johnny Bedford","Rani Yahya",11,3,"red","SUB"
"393","Tim Boetsch","Jacare Souza",123,123,"red","SUB"
"394","Elias Silverio","Shane Campbell",146,25,"red","DEC"
"395","Elvis Mutapcic","Francimar Barroso",0,82,"red","DEC"
"396","Omari Akhmedov","Brian Ebersole",70,49,"blue","KO/TKO"
"397","Saparbeg Safarov","Gian Villante",0,199,"red","KO/TKO"
"398","Michelle Waterson","Paige VanZant",47,25,"blue","SUB"
"399","Michinori Tanaka","Joe Soto",43,46,"blue","DEC"
"400","Mark Hunt","Alistair Overeem",107,225,"red","KO/TKO"
"401","Michael Chiesa","Beneil Dariush",121,205,"blue","SUB"
"402","Jessica Penne","Joanna Jedrzejczyk",39,155,"red","KO/TKO"
"403","Charles Oliveira","Ricardo Lamas",98,145,"red","SUB"
"404","Michael Bisping","Luke Rockhold",303,171,"blue","KO/TKO"
"405","Phillipe Nover","Rick Glenn",59,58,"red","DEC"
"406","Belal Muhammad","Randy Brown",146,112,"blue","DEC"
"407","Katlyn Chookagian","Liz Carmouche",45,56,"red","DEC"
